TUMOURICDSITE3CODE,OPCSRESECTIONCODE
Ampulla of Vater,J011
Ampulla of Vater,J015
Ampulla of Vater,J019
Ampulla of Vater,J021
Ampulla of Vater,J022
Ampulla of Vater,J023
Ampulla of Vater,J024
Ampulla of Vater,J026
Ampulla of Vater,J027
Ampulla of Vater,J028
Ampulla of Vater,J029
Ampulla of Vater,J031
Ampulla of Vater,J032
Ampulla of Vater,J033
Ampulla of Vater,J034
Ampulla of Vater,J035
Ampulla of Vater,J038
Ampulla of Vater,J053
Ampulla of Vater,J083
Ampulla of Vater,J101
Ampulla of Vater,J181
Ampulla of Vater,J182
Ampulla of Vater,J183
Ampulla of Vater,J184
Ampulla of Vater,J185
Ampulla of Vater,J188
Ampulla of Vater,J231
Ampulla of Vater,J271
Ampulla of Vater,J273
Ampulla of Vater,J274
Ampulla of Vater,J275
Ampulla of Vater,J278
Ampulla of Vater,J279
Ampulla of Vater,J281
Ampulla of Vater,J282
Ampulla of Vater,J288
Ampulla of Vater,J361
Ampulla of Vater,J551
Ampulla of Vater,J552
Ampulla of Vater,J561
Ampulla of Vater,J562
Ampulla of Vater,J563
Ampulla of Vater,T876
Ampulla of Vater,T878
Acute lymphoblastic leukaemia (ALL),T122
Acute lymphoblastic leukaemia (ALL),T123
Acute lymphoblastic leukaemia (ALL),T124
Acute lymphoblastic leukaemia (ALL),W341
Acute lymphoblastic leukaemia (ALL),W342
Acute lymphoblastic leukaemia (ALL),W343
Acute lymphoblastic leukaemia (ALL),W344
Acute lymphoblastic leukaemia (ALL),W345
Acute lymphoblastic leukaemia (ALL),W346
Acute lymphoblastic leukaemia (ALL),W348
Acute lymphoblastic leukaemia (ALL),W349
Acute lymphoblastic leukaemia (ALL),W991
Acute lymphoblastic leukaemia (ALL),X334
Acute lymphoblastic leukaemia (ALL),X335
Acute lymphoblastic leukaemia (ALL),X336
Acute myeloid leukaemia (AML),T122
Acute myeloid leukaemia (AML),T123
Acute myeloid leukaemia (AML),T124
Acute myeloid leukaemia (AML),T462
Acute myeloid leukaemia (AML),W341
Acute myeloid leukaemia (AML),W342
Acute myeloid leukaemia (AML),W343
Acute myeloid leukaemia (AML),W344
Acute myeloid leukaemia (AML),W345
Acute myeloid leukaemia (AML),W346
Acute myeloid leukaemia (AML),W348
Acute myeloid leukaemia (AML),W349
Acute myeloid leukaemia (AML),W991
Acute myeloid leukaemia (AML),X334
Acute myeloid leukaemia (AML),X335
Acute myeloid leukaemia (AML),X336
Acute promyelocytic leukaemia (APL),W344
Acute promyelocytic leukaemia (APL),W991
Acute promyelocytic leukaemia (APL),X336
Anus,H331
Anus,H337
Anus,H338
Anus,H339
Anus,H402
Anus,H412
Anus,H471
Anus,H478
Anus,H479
Anus,H481
Anus,H482
Anus,H483
Anus,H488
Anus,H489
Anus,H491
Anus,H492
Anus,H493
Anus,H498
Anus,H499
Anus,H511
Anus,H564
Anus,S068
Anus,S069
Benign endocrine brain,A011
Benign endocrine brain,A012
Benign endocrine brain,A013
Benign endocrine brain,A018
Benign endocrine brain,A019
Benign endocrine brain,A021
Benign endocrine brain,A022
Benign endocrine brain,A023
Benign endocrine brain,A024
Benign endocrine brain,A025
Benign endocrine brain,A026
Benign endocrine brain,A028
Benign endocrine brain,A029
Benign endocrine brain,A068
Benign endocrine brain,A069
Benign endocrine brain,A171
Benign endocrine brain,A291
Benign endocrine brain,A292
Benign endocrine brain,A293
Benign endocrine brain,A294
Benign endocrine brain,A295
Benign endocrine brain,A296
Benign endocrine brain,A297
Benign endocrine brain,A298
Benign endocrine brain,A299
Benign endocrine brain,A381
Benign endocrine brain,A382
Benign endocrine brain,A383
Benign endocrine brain,A384
Benign endocrine brain,A385
Benign endocrine brain,A386
Benign endocrine brain,A388
Benign endocrine brain,A389
Benign endocrine brain,A431
Benign endocrine brain,A432
Benign endocrine brain,A438
Benign endocrine brain,A439
Benign endocrine brain,A441
Benign endocrine brain,A442
Benign endocrine brain,A443
Benign endocrine brain,A444
Benign endocrine brain,A445
Benign endocrine brain,A448
Benign endocrine brain,A449
Benign endocrine brain,A511
Benign endocrine brain,A571
Benign endocrine brain,A598
Benign endocrine brain,A611
Benign endocrine brain,B012
Benign endocrine brain,B013
Benign endocrine brain,B014
Benign endocrine brain,B018
Benign endocrine brain,B019
Benign endocrine brain,B041
Benign endocrine brain,B061
Benign endocrine brain,B068
Benign endocrine brain,C021
Benign endocrine brain,V051
Benign endocrine brain,V074
Benign endocrine brain,V291
Benign endocrine brain,V312
Benign endocrine brain,V318
Benign endocrine brain,V319
Benign endocrine brain,V331
Benign endocrine brain,V339
Benign endocrine brain,V351
Benign endocrine brain,V431
Benign endocrine brain,V432
Benign endocrine brain,V433
Benign endocrine brain,V438
Benign endocrine brain,V439
Malignant brain,A011
Malignant brain,A012
Malignant brain,A013
Malignant brain,A018
Malignant brain,A019
Malignant brain,A021
Malignant brain,A022
Malignant brain,A023
Malignant brain,A024
Malignant brain,A025
Malignant brain,A026
Malignant brain,A028
Malignant brain,A029
Malignant brain,A068
Malignant brain,A069
Malignant brain,A171
Malignant brain,A291
Malignant brain,A292
Malignant brain,A293
Malignant brain,A294
Malignant brain,A295
Malignant brain,A296
Malignant brain,A297
Malignant brain,A298
Malignant brain,A299
Malignant brain,A381
Malignant brain,A382
Malignant brain,A383
Malignant brain,A384
Malignant brain,A385
Malignant brain,A386
Malignant brain,A388
Malignant brain,A389
Malignant brain,A431
Malignant brain,A432
Malignant brain,A438
Malignant brain,A439
Malignant brain,A441
Malignant brain,A442
Malignant brain,A443
Malignant brain,A444
Malignant brain,A445
Malignant brain,A448
Malignant brain,A449
Malignant brain,A511
Malignant brain,A571
Malignant brain,A598
Malignant brain,A611
Malignant brain,B012
Malignant brain,B013
Malignant brain,B014
Malignant brain,B018
Malignant brain,B019
Malignant brain,B041
Malignant brain,B061
Malignant brain,B068
Malignant brain,C021
Malignant brain,V051
Malignant brain,V074
Malignant brain,V291
Malignant brain,V312
Malignant brain,V318
Malignant brain,V319
Malignant brain,V331
Malignant brain,V339
Malignant brain,V351
Malignant brain,V431
Malignant brain,V432
Malignant brain,V433
Malignant brain,V438
Malignant brain,V439
Non-benign endocrine brain,A011
Non-benign endocrine brain,A012
Non-benign endocrine brain,A013
Non-benign endocrine brain,A018
Non-benign endocrine brain,A019
Non-benign endocrine brain,A021
Non-benign endocrine brain,A022
Non-benign endocrine brain,A023
Non-benign endocrine brain,A024
Non-benign endocrine brain,A025
Non-benign endocrine brain,A026
Non-benign endocrine brain,A028
Non-benign endocrine brain,A029
Non-benign endocrine brain,A068
Non-benign endocrine brain,A069
Non-benign endocrine brain,A171
Non-benign endocrine brain,A291
Non-benign endocrine brain,A292
Non-benign endocrine brain,A293
Non-benign endocrine brain,A294
Non-benign endocrine brain,A295
Non-benign endocrine brain,A296
Non-benign endocrine brain,A297
Non-benign endocrine brain,A298
Non-benign endocrine brain,A299
Non-benign endocrine brain,A381
Non-benign endocrine brain,A382
Non-benign endocrine brain,A383
Non-benign endocrine brain,A384
Non-benign endocrine brain,A385
Non-benign endocrine brain,A386
Non-benign endocrine brain,A388
Non-benign endocrine brain,A389
Non-benign endocrine brain,A431
Non-benign endocrine brain,A432
Non-benign endocrine brain,A438
Non-benign endocrine brain,A439
Non-benign endocrine brain,A441
Non-benign endocrine brain,A442
Non-benign endocrine brain,A443
Non-benign endocrine brain,A444
Non-benign endocrine brain,A445
Non-benign endocrine brain,A448
Non-benign endocrine brain,A449
Non-benign endocrine brain,A511
Non-benign endocrine brain,A571
Non-benign endocrine brain,A598
Non-benign endocrine brain,A611
Non-benign endocrine brain,B012
Non-benign endocrine brain,B013
Non-benign endocrine brain,B014
Non-benign endocrine brain,B018
Non-benign endocrine brain,B019
Non-benign endocrine brain,B041
Non-benign endocrine brain,B061
Non-benign endocrine brain,B068
Non-benign endocrine brain,C021
Non-benign endocrine brain,V051
Non-benign endocrine brain,V074
Non-benign endocrine brain,V291
Non-benign endocrine brain,V312
Non-benign endocrine brain,V318
Non-benign endocrine brain,V319
Non-benign endocrine brain,V331
Non-benign endocrine brain,V339
Non-benign endocrine brain,V351
Non-benign endocrine brain,V431
Non-benign endocrine brain,V432
Non-benign endocrine brain,V433
Non-benign endocrine brain,V438
Non-benign endocrine brain,V439
Non-malignant brain,A011
Non-malignant brain,A012
Non-malignant brain,A013
Non-malignant brain,A018
Non-malignant brain,A019
Non-malignant brain,A021
Non-malignant brain,A022
Non-malignant brain,A023
Non-malignant brain,A024
Non-malignant brain,A025
Non-malignant brain,A026
Non-malignant brain,A028
Non-malignant brain,A029
Non-malignant brain,A068
Non-malignant brain,A069
Non-malignant brain,A171
Non-malignant brain,A291
Non-malignant brain,A292
Non-malignant brain,A293
Non-malignant brain,A294
Non-malignant brain,A295
Non-malignant brain,A296
Non-malignant brain,A297
Non-malignant brain,A298
Non-malignant brain,A299
Non-malignant brain,A381
Non-malignant brain,A382
Non-malignant brain,A383
Non-malignant brain,A384
Non-malignant brain,A385
Non-malignant brain,A386
Non-malignant brain,A388
Non-malignant brain,A389
Non-malignant brain,A431
Non-malignant brain,A432
Non-malignant brain,A438
Non-malignant brain,A439
Non-malignant brain,A441
Non-malignant brain,A442
Non-malignant brain,A443
Non-malignant brain,A444
Non-malignant brain,A445
Non-malignant brain,A448
Non-malignant brain,A449
Non-malignant brain,A511
Non-malignant brain,A571
Non-malignant brain,A598
Non-malignant brain,A611
Non-malignant brain,B012
Non-malignant brain,B013
Non-malignant brain,B014
Non-malignant brain,B018
Non-malignant brain,B019
Non-malignant brain,B041
Non-malignant brain,B061
Non-malignant brain,B068
Non-malignant brain,C021
Non-malignant brain,V051
Non-malignant brain,V074
Non-malignant brain,V291
Non-malignant brain,V312
Non-malignant brain,V318
Non-malignant brain,V319
Non-malignant brain,V331
Non-malignant brain,V339
Non-malignant brain,V351
Non-malignant brain,V431
Non-malignant brain,V432
Non-malignant brain,V433
Non-malignant brain,V438
Non-malignant brain,V439
Hypopharynx,E191
Hypopharynx,E192
Hypopharynx,E214
Hypopharynx,E231
Hypopharynx,E242
Hypopharynx,E291
Hypopharynx,E292
Hypopharynx,E293
Hypopharynx,E294
Hypopharynx,E295
Hypopharynx,E296
Hypopharynx,E299
Hypopharynx,E301
Hypopharynx,E341
Hypopharynx,E342
Hypopharynx,E343
Hypopharynx,E352
Hypopharynx,E414
Hypopharynx,F011
Hypopharynx,F018
Hypopharynx,F021
Hypopharynx,F042
Hypopharynx,F202
Hypopharynx,F221
Hypopharynx,F222
Hypopharynx,F231
Hypopharynx,F281
Hypopharynx,F301
Hypopharynx,F303
Hypopharynx,F304
Hypopharynx,F305
Hypopharynx,F324
Hypopharynx,F328
Hypopharynx,F349
Hypopharynx,F381
Hypopharynx,F382
Hypopharynx,F391
Hypopharynx,F392
Hypopharynx,F441
Hypopharynx,F442
Hypopharynx,F443
Hypopharynx,F444
Hypopharynx,F451
Hypopharynx,G021
Hypopharynx,G032
Hypopharynx,S171
Hypopharynx,S208
Hypopharynx,S248
Hypopharynx,S288
Hypopharynx,S353
Hypopharynx,T851
Hypopharynx,V061
Hypopharynx,V068
Hypopharynx,V069
Hypopharynx,V141
Hypopharynx,V142
Hypopharynx,V143
Hypopharynx,V144
Hypopharynx,V149
Hypopharynx,V168
Hypopharynx,V191
Hypopharynx,Y051
Hypopharynx,Y592
Hypopharynx,Y598
Hypopharynx,Y612
Hypopharynx,Y631
Hypopharynx,Y638
Hypopharynx,Y662
Larynx,E191
Larynx,E192
Larynx,E214
Larynx,E231
Larynx,E242
Larynx,E291
Larynx,E292
Larynx,E293
Larynx,E294
Larynx,E295
Larynx,E296
Larynx,E299
Larynx,E301
Larynx,E341
Larynx,E342
Larynx,E343
Larynx,E352
Larynx,E414
Larynx,F011
Larynx,F018
Larynx,F021
Larynx,F042
Larynx,F202
Larynx,F221
Larynx,F222
Larynx,F231
Larynx,F281
Larynx,F301
Larynx,F303
Larynx,F304
Larynx,F305
Larynx,F324
Larynx,F328
Larynx,F349
Larynx,F381
Larynx,F382
Larynx,F391
Larynx,F392
Larynx,F441
Larynx,F442
Larynx,F443
Larynx,F444
Larynx,F451
Larynx,G021
Larynx,G032
Larynx,S171
Larynx,S208
Larynx,S248
Larynx,S288
Larynx,S353
Larynx,T851
Larynx,V061
Larynx,V068
Larynx,V069
Larynx,V141
Larynx,V142
Larynx,V143
Larynx,V144
Larynx,V149
Larynx,V168
Larynx,V191
Larynx,Y051
Larynx,Y592
Larynx,Y598
Larynx,Y612
Larynx,Y631
Larynx,Y638
Larynx,Y662
Major salivary glands,E191
Major salivary glands,E192
Major salivary glands,E214
Major salivary glands,E231
Major salivary glands,E242
Major salivary glands,E291
Major salivary glands,E292
Major salivary glands,E293
Major salivary glands,E294
Major salivary glands,E295
Major salivary glands,E296
Major salivary glands,E299
Major salivary glands,E301
Major salivary glands,E341
Major salivary glands,E342
Major salivary glands,E343
Major salivary glands,E352
Major salivary glands,E414
Major salivary glands,F011
Major salivary glands,F018
Major salivary glands,F021
Major salivary glands,F042
Major salivary glands,F202
Major salivary glands,F221
Major salivary glands,F222
Major salivary glands,F231
