TUMOURICDSITE3CODE,OPCSRESECTIONCODE
C01,E191
C01,E192
C01,E214
C01,E231
C01,E242
C01,E291
C01,E292
C01,E293
C01,E294
C01,E295
C01,E296
C01,E299
C01,E301
C01,E341
C01,E342
C01,E343
C01,E352
C01,E414
C01,F011
C01,F018
C01,F021
C01,F042
C01,F202
C01,F221
C01,F222
C01,F231
C01,F281
C01,F301
C01,F303
C01,F304
C01,F305
C01,F324
C01,F328
C01,F349
C01,F381
C01,F382
C01,F391
C01,F392
C01,F441
C01,F442
C01,F443
C01,F444
C01,F451
C01,G021
C01,G032
C01,S171
C01,S208
C01,S248
C01,S288
C01,S353
C01,T851
C01,V061
C01,V068
C01,V069
C01,V141
C01,V142
C01,V143
C01,V144
C01,V149
C01,V168
C01,V191
C01,Y051
C01,Y592
C01,Y598
C01,Y612
C01,Y631
C01,Y638
C01,Y662
C02,E191
C02,E192
C02,E214
C02,E231
C02,E242
C02,E291
C02,E292
C02,E293
C02,E294
C02,E295
C02,E296
C02,E299
C02,E301
C02,E341
C02,E342
C02,E343
C02,E352
C02,E414
C02,F011
C02,F018
C02,F021
C02,F042
C02,F202
C02,F221
C02,F222
C02,F231
C02,F281
C02,F301
C02,F303
C02,F304
C02,F305
C02,F324
C02,F328
C02,F349
C02,F381
C02,F382
C02,F391
C02,F392
C02,F441
C02,F442
C02,F443
C02,F444
C02,F451
C02,G021
C02,G032
C02,S171
C02,S208
C02,S248
C02,S288
C02,S353
C02,T851
C02,V061
C02,V068
C02,V069
C02,V141
C02,V142
C02,V143
C02,V144
C02,V149
C02,V168
C02,V191
C02,Y051
C02,Y592
C02,Y598
C02,Y612
C02,Y631
C02,Y638
C02,Y662
C03,E191
C03,E192
C03,E214
C03,E231
C03,E242
C03,E291
C03,E292
C03,E293
C03,E294
C03,E295
C03,E296
C03,E299
C03,E301
C03,E341
C03,E342
C03,E343
C03,E352
C03,E414
C03,F011
C03,F018
C03,F021
C03,F042
C03,F202
C03,F221
C03,F222
C03,F231
C03,F281
C03,F301
C03,F303
C03,F304
C03,F305
C03,F324
C03,F328
C03,F349
C03,F381
C03,F382
C03,F391
C03,F392
C03,F441
C03,F442
C03,F443
C03,F444
C03,F451
C03,G021
C03,G032
C03,S171
C03,S208
C03,S248
C03,S288
C03,S353
C03,T851
C03,V061
C03,V068
C03,V069
C03,V141
C03,V142
C03,V143
C03,V144
C03,V149
C03,V168
C03,V191
C03,Y051
C03,Y592
C03,Y598
C03,Y612
C03,Y631
C03,Y638
C03,Y662
C04,E191
C04,E192
C04,E214
C04,E231
C04,E242
C04,E291
C04,E292
C04,E293
C04,E294
C04,E295
C04,E296
C04,E299
C04,E301
C04,E341
C04,E342
C04,E343
C04,E352
C04,E414
C04,F011
C04,F018
C04,F021
C04,F042
C04,F202
C04,F221
C04,F222
C04,F231
C04,F281
C04,F301
C04,F303
C04,F304
C04,F305
C04,F324
C04,F328
C04,F349
C04,F381
C04,F382
C04,F391
C04,F392
C04,F441
C04,F442
C04,F443
C04,F444
C04,F451
C04,G021
C04,G032
C04,S171
C04,S208
C04,S248
C04,S288
C04,S353
C04,T851
C04,V061
C04,V068
C04,V069
C04,V141
C04,V142
C04,V143
C04,V144
C04,V149
C04,V168
C04,V191
C04,Y051
C04,Y592
C04,Y598
C04,Y612
C04,Y631
C04,Y638
C04,Y662
C05,E191
C05,E192
C05,E214
C05,E231
C05,E242
C05,E291
C05,E292
C05,E293
C05,E294
C05,E295
C05,E296
C05,E299
C05,E301
C05,E341
C05,E342
C05,E343
C05,E352
C05,E414
C05,F011
C05,F018
C05,F021
C05,F042
C05,F202
C05,F221
C05,F222
C05,F231
C05,F281
C05,F301
C05,F303
C05,F304
C05,F305
C05,F324
C05,F328
C05,F349
C05,F381
C05,F382
C05,F391
C05,F392
C05,F441
C05,F442
C05,F443
C05,F444
C05,F451
C05,G021
C05,G032
C05,S171
C05,S208
C05,S248
C05,S288
C05,S353
C05,T851
C05,V061
C05,V068
C05,V069
C05,V141
C05,V142
C05,V143
C05,V144
C05,V149
C05,V168
C05,V191
C05,Y051
C05,Y592
C05,Y598
C05,Y612
C05,Y631
C05,Y638
C05,Y662
C06,E191
C06,E192
C06,E214
C06,E231
C06,E242
C06,E291
C06,E292
C06,E293
C06,E294
C06,E295
C06,E296
C06,E299
C06,E301
C06,E341
C06,E342
C06,E343
C06,E352
C06,E414
C06,F011
C06,F018
C06,F021
C06,F042
C06,F202
C06,F221
C06,F222
C06,F231
C06,F281
C06,F301
C06,F303
C06,F304
C06,F305
C06,F324
C06,F328
C06,F349
C06,F381
C06,F382
C06,F391
C06,F392
C06,F441
C06,F442
C06,F443
C06,F444
C06,F451
C06,G021
C06,G032
C06,S171
C06,S208
C06,S248
C06,S288
C06,S353
C06,T851
C06,V061
C06,V068
C06,V069
C06,V141
C06,V142
C06,V143
C06,V144
C06,V149
C06,V168
C06,V191
C06,Y051
C06,Y592
C06,Y598
C06,Y612
C06,Y631
C06,Y638
C06,Y662
C07,E191
C07,E192
C07,E214
C07,E231
C07,E242
C07,E291
C07,E292
C07,E293
C07,E294
C07,E295
C07,E296
C07,E299
C07,E301
C07,E341
C07,E342
C07,E343
C07,E352
C07,E414
C07,F011
C07,F018
C07,F021
C07,F042
C07,F202
C07,F221
C07,F222
C07,F231
C07,F281
C07,F301
C07,F303
C07,F304
C07,F305
C07,F324
C07,F328
C07,F349
C07,F381
C07,F382
C07,F391
C07,F392
C07,F441
C07,F442
C07,F443
C07,F444
C07,F451
C07,G021
C07,G032
C07,S171
C07,S208
C07,S248
C07,S288
C07,S353
C07,T851
C07,V061
C07,V068
C07,V069
C07,V141
C07,V142
C07,V143
C07,V144
C07,V149
C07,V168
C07,V191
C07,Y051
C07,Y592
C07,Y598
C07,Y612
C07,Y631
C07,Y638
C07,Y662
C08,E191
C08,E192
C08,E214
C08,E231
C08,E242
C08,E291
C08,E292
